"Story","Title","Result","Date","Stability","Duration (s)"
"Lookup a definition","Looking up the definition of 'apple' & 'pear'","SUCCESS","2018-08-09T14:36:47.388+05:30[Asia/Calcutta]","0.0","29.35"
"Lookup a definition","User Login scenario","ERROR","2018-08-09T14:37:16.743+05:30[Asia/Calcutta]","0.0","0.69"
